"Activity Period","Activity Period Start Date","Operating Airline","Operating Airline IATA Code","Published Airline","Published Airline IATA Code","GEO Summary","GEO Region","Landing Aircraft Type","Aircraft Body Type","Aircraft Manufacturer","Aircraft Model","Aircraft Version","Landing Count","Total Landed Weight","data_as_of","data_loaded_at"
"199908","1999/08/01","Air Canada","AC","Air Canada","AC","International","Canada","Passenger","Wide Body","Boeing","767","209","7","1,904,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air Canada","AC","Air Canada","AC","International","Canada","Passenger","Wide Body","Boeing","767","233","21","5,782,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air Canada","AC","Air Canada","AC","International","Canada","Passenger","Wide Body","Boeing","767","275","3","816,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air Canada","AC","Air Canada","AC","International","Canada","Passenger","Narrow Body","Airbus","A319","114","9","1,207,800","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air Canada","AC","Air Canada","AC","International","Canada","Passenger","Narrow Body","Airbus","A320","211","156","22,152,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air China","CA","Air China","CA","International","Asia","Passenger","Wide Body","Boeing","747","400","17","10,709,881","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air Europe","PE","Air Europe","PE","International","Europe","Passenger","Wide Body","Boeing","767","300","2","586,400","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Air France","AF","Air France","AF","International","Europe","Passenger","Wide Body","Boeing","747","200","31","19,525,505","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Passenger","Narrow Body","Boeing","737","400","238","28,798,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Canada","Passenger","Narrow Body","Boeing","737","400","93","11,253,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Passenger","Narrow Body","McDonnell Douglas","MD-80","93","65","8,450,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Passenger","Narrow Body","McDonnell Douglas","MD-80",,"318","41,340,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","Alitalia Airlines","AZ","Alitalia Airlines","AZ","International","Europe","Passenger","Wide Body","Boeing","747","300","31","9,920,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","All Nippon Company Airways, Ltd.","NH","All Nippon Company Airways, Ltd.","NH","International","Asia","Passenger","Wide Body","Boeing","747","400","23","13,432,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Boeing","727","100","4","512,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Boeing","727","200","5","710,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Boeing","757","W","178","35,244,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Boeing","757",,"14","2,772,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
"199908","1999/08/01","American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Wide Body","Boeing","767","200","74","19,980,000","2025/10/20 01:00:25 PM","2025/10/22 03:02:47 PM"
